sample	category	filename	relative_path	size_bytes	size_human	url
T2T04	assembly	T2T04.combined.fasta	assemblies/T2T04/T2T04.combined.fasta	6048425846	5.6GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T04&files=T2T04.combined.fasta
T2T04	assembly	T2T04.contig_pofo_assignment.tsv	assemblies/T2T04/T2T04.contig_pofo_assignment.tsv	63150	61.7KB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T04&files=T2T04.contig_pofo_assignment.tsv
T2T04	assembly	T2T04.hap1.fasta	assemblies/T2T04/T2T04.hap1.fasta	3029797588	2.8GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T04&files=T2T04.hap1.fasta
T2T04	assembly	T2T04.hap2.fasta	assemblies/T2T04/T2T04.hap2.fasta	2922359734	2.7GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T04&files=T2T04.hap2.fasta
T2T04_1	assembly	T2T04_1.combined.fasta	assemblies/T2T04_1/T2T04_1.combined.fasta	6056316633	5.6GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T04_1&files=T2T04_1.combined.fasta
T2T04_1	assembly	T2T04_1.contig_pofo_assignment.tsv	assemblies/T2T04_1/T2T04_1.contig_pofo_assignment.tsv	68794	67.2KB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T04_1&files=T2T04_1.contig_pofo_assignment.tsv
T2T04_1	assembly	T2T04_1.hap1.fasta	assemblies/T2T04_1/T2T04_1.hap1.fasta	3025409378	2.8GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T04_1&files=T2T04_1.hap1.fasta
T2T04_1	assembly	T2T04_1.hap2.fasta	assemblies/T2T04_1/T2T04_1.hap2.fasta	2957503380	2.8GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T04_1&files=T2T04_1.hap2.fasta
T2T04_2	assembly	T2T04_2.combined.fasta	assemblies/T2T04_2/T2T04_2.combined.fasta	6177320757	5.8GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T04_2&files=T2T04_2.combined.fasta
T2T04_2	assembly	T2T04_2.contig_pofo_assignment.tsv	assemblies/T2T04_2/T2T04_2.contig_pofo_assignment.tsv	101798	99.4KB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T04_2&files=T2T04_2.contig_pofo_assignment.tsv
T2T04_2	assembly	T2T04_2.hap1.fasta	assemblies/T2T04_2/T2T04_2.hap1.fasta	3026531653	2.8GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T04_2&files=T2T04_2.hap1.fasta
T2T04_2	assembly	T2T04_2.hap2.fasta	assemblies/T2T04_2/T2T04_2.hap2.fasta	3044217439	2.8GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T04_2&files=T2T04_2.hap2.fasta
T2T05	assembly	T2T05.combined.fasta	assemblies/T2T05/T2T05.combined.fasta	6007967569	5.6GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T05&files=T2T05.combined.fasta
T2T05	assembly	T2T05.contig_pofo_assignment.tsv	assemblies/T2T05/T2T05.contig_pofo_assignment.tsv	49516	48.4KB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T05&files=T2T05.contig_pofo_assignment.tsv
